"Step","run - val_sparse_accuracy","run - val_sparse_accuracy__MIN","run - val_sparse_accuracy__MAX"
"1544","29.7","29.7","29.7"
"1546","30","30","30"
"1548","30.1","30.1","30.1"
"1550","30.2","30.2","30.2"
"1552","30.4","30.4","30.4"
"1554","30.7","30.7","30.7"
"1556","30.4","30.4","30.4"
"1558","30.5","30.5","30.5"
"1560","30.9","30.9","30.9"
"1562","31.1","31.1","31.1"
"1564","31","31","31"
"1566","31.1","31.1","31.1"
"1568","31.1","31.1","31.1"
"1570","31","31","31"
"1572","31.4","31.4","31.4"
"1574","31.2","31.2","31.2"
"1576","31.6","31.6","31.6"
"1578","31.5","31.5","31.5"
"1580","31.8","31.8","31.8"
"1582","31.8","31.8","31.8"
"1584","31.8","31.8","31.8"
"1586","32.2","32.2","32.2"
"1588","31.6","31.6","31.6"
"1590","32","32","32"
"1592","32.2","32.2","32.2"
"1594","32.2","32.2","32.2"
"1596","32.6","32.6","32.6"
"1598","32.5","32.5","32.5"
"1600","32.7","32.7","32.7"
"1602","33.3","33.3","33.3"
"1604","32.7","32.7","32.7"
"1606","33","33","33"
"1608","33","33","33"
"1610","33.3","33.3","33.3"
"1612","33.5","33.5","33.5"
"1614","33.6","33.6","33.6"
"1616","33.6","33.6","33.6"
"1618","34","34","34"
"1620","34.4","34.4","34.4"
"1622","34.5","34.5","34.5"
"1624","33.8","33.8","33.8"
"1626","33.7","33.7","33.7"
"1628","33.9","33.9","33.9"
"1630","33.7","33.7","33.7"
"1632","34.3","34.3","34.3"
"1634","35.1","35.1","35.1"
"1636","33.6","33.6","33.6"
"1638","34.1","34.1","34.1"
"1640","35.3","35.3","35.3"
"1642","35.3","35.3","35.3"
"1644","35.5","35.5","35.5"
"1646","35","35","35"
"1648","35.7","35.7","35.7"
"1650","35.3","35.3","35.3"
"1652","35.6","35.6","35.6"
"1654","35.6","35.6","35.6"
"1656","35.3","35.3","35.3"
"1658","34.8","34.8","34.8"
"1660","35.9","35.9","35.9"
"1662","35.7","35.7","35.7"
"1664","35.8","35.8","35.8"
"1666","35.7","35.7","35.7"
"1668","35.5","35.5","35.5"
"1670","36","36","36"
"1672","34.8","34.8","34.8"
"1674","34.9","34.9","34.9"
"1676","35.7","35.7","35.7"
"1678","35.2","35.2","35.2"
"1680","35.6","35.6","35.6"
"1682","35.8","35.8","35.8"
"1684","35.6","35.6","35.6"
"1686","35.7","35.7","35.7"
"1688","35.6","35.6","35.6"
"1690","35.5","35.5","35.5"
"1692","35.7","35.7","35.7"
"1694","36.5","36.5","36.5"
"1696","35.9","35.9","35.9"
"1698","36.6","36.6","36.6"
"1700","36.7","36.7","36.7"
"1702","35.8","35.8","35.8"
"1704","36","36","36"
"1706","35.8","35.8","35.8"
"1708","37.5","37.5","37.5"
"1710","36.6","36.6","36.6"
"1712","36.1","36.1","36.1"
"1714","38","38","38"
"1716","36.5","36.5","36.5"
"1718","37.3","37.3","37.3"
"1720","37.3","37.3","37.3"
"1722","37","37","37"
"1724","36.8","36.8","36.8"
"1726","37","37","37"
"1728","38.1","38.1","38.1"
"1730","37.8","37.8","37.8"
"1732","38.2","38.2","38.2"
"1734","38.2","38.2","38.2"
"1736","38.3","38.3","38.3"
"1738","37.9","37.9","37.9"
"1740","38.5","38.5","38.5"
"1742","39.6","39.6","39.6"
"1744","38.3","38.3","38.3"
"1746","42.7","42.7","42.7"
"1748","40","40","40"
"1750","39.8","39.8","39.8"
"1752","40.4","40.4","40.4"
"1754","40.1","40.1","40.1"
